year,month,positive,neutral,negative,exception
1990,6,62,97,13,91
1990,7,94,20,67,50
1990,8,50,61,90,49
1990,9,7,63,89,30
1990,10,9,20,68,62
1990,11,95,54,66,18
1990,12,69,56,2,59
1991,1,66,17,91,90
1991,2,77,53,45,86
1991,3,26,74,51,41
1991,4,89,47,21,79
1991,5,45,87,63,8
1991,6,36,26,24,91
1991,7,4,31,88,91
1991,8,84,31,49,42
1991,9,21,87,37,33
1991,10,61,71,66,84
1991,11,76,30,46,22
1991,12,49,97,23,4
1992,1,38,45,74,36
1992,2,99,92,63,51
1992,3,97,64,92,71
1992,4,74,45,63,39
1992,5,14,20,69,40
1992,6,55,98,19,94
1992,7,62,25,41,14
1992,8,43,66,38,45
1992,9,34,96,27,45
1992,10,21,52,40,5
1992,11,12,87,14,17
1992,12,34,83,81,5
1993,1,50,5,96,85
1993,2,30,51,94,17
1993,3,72,23,38,13
1993,4,96,86,33,99
1993,5,94,6,41,1
1993,6,65,66,16,74
1993,7,27,55,49,7
1993,8,22,43,87,99
1993,9,19,61,21,52
1993,10,18,71,55,89
1993,11,96,19,41,48
1993,12,14,78,62,21
1994,1,35,84,36,30
1994,2,98,65,51,48
1994,3,15,94,80,7
1994,4,42,82,28,26
1994,5,28,72,71,14
1994,6,50,47,87,82
1994,7,21,40,73,61
1994,8,8,43,43,91
1994,9,64,3,76,9
1994,10,98,98,29,45
1994,11,56,96,29,74
1994,12,19,97,96,12
1995,1,90,45,91,83
1995,2,89,81,40,27
1995,3,36,70,73,41
1995,4,86,38,98,92
1995,5,1,57,4,72
1995,6,87,59,42,37
1995,7,55,44,37,51
1995,8,67,97,71,42
1995,9,32,53,31,50
1995,10,66,31,73,77
1995,11,4,50,7,64
1995,12,87,5,75,47
1996,1,85,60,3,58
1996,2,49,18,13,22
1996,3,12,73,71,18
1996,4,59,75,47,41
1996,5,90,64,47,55
1996,6,79,35,26,48
1996,7,48,79,6,3
1996,8,6,72,16,32
1996,9,77,73,32,55
1996,10,2,7,43,78
1996,11,36,3,9,87
1996,12,2,19,100,94
1997,1,79,83,16,98
1997,2,54,74,88,72
1997,3,60,24,92,74
1997,4,6,80,21,85
1997,5,51,18,34,85
1997,6,35,63,36,12
1997,7,41,70,15,8
1997,8,52,60,77,60
1997,9,10,13,51,14
1997,10,13,13,57,57
1997,11,84,39,55,3
1997,12,92,51,86,43
1998,1,40,69,78,28
1998,2,92,31,88,41
1998,3,31,1,12,96
1998,4,30,40,0,5
1998,5,91,22,55,43
1998,6,69,14,27,84
1998,7,67,6,27,75
1998,8,77,1,4,89
1998,9,63,80,51,89
1998,10,38,49,7,36
1998,11,37,68,98,48
1998,12,22,8,31,58
1999,1,61,51,76,59
1999,2,60,36,19,71
1999,3,69,99,68,60
1999,4,65,72,78,67
1999,5,22,83,83,51
1999,6,13,34,18,73
1999,7,80,3,22,10
1999,8,30,57,57,77
1999,9,31,57,63,78
1999,10,76,42,47,15
1999,11,86,84,20,75
1999,12,10,36,26,41
2000,1,14,45,49,87
2000,2,94,88,83,47
2000,3,33,91,11,32
2000,4,80,18,27,29
2000,5,45,85,15,24
2000,6,81,75,55,83
2000,7,88,64,33,20
2000,8,3,59,41,67
2000,9,46,14,13,57
2000,10,15,27,95,45
2000,11,7,78,41,64
2000,12,56,29,46,77
2001,1,2,98,92,47
2001,2,89,56,94,54
2001,3,73,100,17,45
2001,4,31,76,63,8
2001,5,68,62,52,57
2001,6,98,66,52,77
2001,7,12,57,8,24
2001,8,96,37,44,36
2001,9,61,41,87,83
2001,10,22,66,31,29
2001,11,62,1,10,37
2001,12,81,0,99,93
2002,1,36,63,8,76
2002,2,42,49,33,86
2002,3,39,2,10,73
2002,4,81,9,97,4
2002,5,69,40,100,92
2002,6,89,12,10,7
2002,7,93,68,98,85
2002,8,12,99,85,95
2002,9,77,94,58,27
2002,10,33,38,22,80
2002,11,26,11,31,83
2002,12,80,66,4,28
2003,1,97,10,82,65
2003,2,43,7,11,56
2003,3,100,11,18,46
2003,4,73,2,51,38
2003,5,97,63,4,29
2003,6,31,52,49,67
2003,7,24,2,49,77
2003,8,67,23,22,81
2003,9,87,26,30,5
2003,10,61,72,68,62
2003,11,1,98,28,30
2003,12,58,35,86,72
2004,1,12,20,13,79
2004,2,53,60,4,14
2004,3,60,64,54,75
2004,4,68,31,64,92
2004,5,79,5,98,10
2004,6,88,57,95,10
2004,7,86,9,76,38
2004,8,24,15,76,19
2004,9,99,73,58,98
2004,10,15,92,13,20
2004,11,9,29,70,12
2004,12,88,67,40,61
2005,1,68,18,88,69
2005,2,78,73,48,47
2005,3,21,7,88,6
2005,4,61,37,50,17
2005,5,92,85,58,63
2005,6,96,57,88,59
2005,7,24,74,8,6
2005,8,2,83,70,94
2005,9,36,54,70,93
2005,10,88,59,20,53
2005,11,68,89,84,72
2005,12,73,98,100,95
2006,1,84,46,53,44
2006,2,2,77,86,39
2006,3,54,46,84,50
2006,4,50,33,83,63
2006,5,34,68,53,91
2006,6,42,59,14,82
2006,7,41,92,51,83
2006,8,27,50,31,92
2006,9,44,89,81,77
2006,10,23,79,92,62
2006,11,89,22,23,8
2006,12,41,46,24,37
2007,1,10,49,16,3
2007,2,45,9,11,72
2007,3,70,22,58,100
2007,4,46,83,70,24
2007,5,21,52,12,44
2007,6,74,2,3,91
2007,7,64,44,18,61
2007,8,73,5,48,20
2007,9,79,57,76,15
2007,10,29,99,95,98
2007,11,58,42,91,32
2007,12,96,60,42,73
2008,1,4,56,53,58
2008,2,71,68,79,66
2008,3,78,74,62,11
2008,4,2,8,23,68
2008,5,70,15,3,99
2008,6,100,12,40,47
2008,7,53,47,10,53
2008,8,49,54,34,23
2008,9,60,32,20,58
2008,10,98,25,34,39
2008,11,85,58,20,56
2008,12,78,69,78,83
2009,1,79,26,4,8
2009,2,18,74,48,18
2009,3,16,68,97,49
2009,4,85,11,3,0
2009,5,98,31,2,22
2009,6,92,62,10,11
2009,7,82,23,40,79
2009,8,16,73,97,42
2009,9,49,66,93,25
2009,10,84,68,21,98
2009,11,79,62,78,86
2009,12,90,33,69,28
2010,1,91,17,25,84
2010,2,72,93,5,42
2010,3,70,13,36,62
2010,4,98,8,98,4
2010,5,98,42,99,18
2010,6,98,75,67,51
2010,7,92,71,41,41
2010,8,46,14,71,28
2010,9,22,75,33,3
2010,10,65,99,84,64
2010,11,41,27,15,99
2010,12,80,47,50,12
2011,1,56,95,43,34
2011,2,84,92,17,37
2011,3,51,57,11,26
2011,4,52,36,36,99
2011,5,47,49,10,8
2011,6,59,54,61,98
2011,7,28,11,47,69
2011,8,93,14,35,38
2011,9,85,10,73,19
2011,10,99,87,90,59
2011,11,94,32,19,38
2011,12,82,58,68,29
2012,1,3,99,11,21
2012,2,4,36,8,51
2012,3,82,12,92,14
2012,4,88,35,53,35
2012,5,34,61,85,88
2012,6,91,74,43,94
2012,7,4,12,14,48
2012,8,20,60,45,1
2012,9,9,81,12,30
2012,10,69,18,92,70
2012,11,86,43,34,37
2012,12,61,3,63,19
2013,1,50,70,3,39
2013,2,70,60,41,25
2013,3,83,80,15,8
2013,4,93,73,6,52
2013,5,81,97,20,97
2013,6,27,68,16,99
2013,7,30,1,71,12
2013,8,73,49,30,4
2013,9,54,52,26,74
2013,10,44,28,72,5
2013,11,23,14,8,14
2013,12,12,40,48,99
2014,1,89,87,47,53
2014,2,71,42,89,22
2014,3,7,2,79,50
2014,4,96,57,76,40
2014,5,47,94,4,40
2014,6,26,22,42,30
2014,7,60,54,53,63
2014,8,21,9,66,44
2014,9,72,17,77,49
2014,10,71,21,9,50
2014,11,69,86,78,98
2014,12,2,90,30,57
2015,1,59,38,21,83
2015,2,6,70,8,48
2015,3,89,13,10,88
2015,4,77,65,15,87
2015,5,9,22,72,29
2015,6,43,33,37,76
2015,7,62,78,43,54
2015,8,99,20,62,72
2015,9,61,3,63,36
2015,10,38,51,73,65
2015,11,1,100,67,12
2015,12,85,66,66,23
2016,1,9,35,28,85
2016,2,56,49,89,19
2016,3,36,35,4,97
2016,4,87,10,20,32
2016,5,98,73,95,68
2016,6,53,49,81,34
2016,7,89,37,66,95
2016,8,16,77,36,71
2016,9,99,75,50,7
2016,10,64,41,29,26
2016,11,45,54,31,20
2016,12,29,23,69,15
2017,1,60,26,44,66
2017,2,5,66,91,50
2017,3,44,79,60,31
2017,4,13,74,90,73
2017,5,71,72,0,1
2017,6,21,22,56,24
2017,7,57,36,18,29
2017,8,63,18,67,34
2017,9,20,30,55,26
2017,10,95,94,21,86
2017,11,78,54,37,80
2017,12,89,0,50,17
2018,1,14,98,62,25
2018,2,53,19,91,10
2018,3,13,99,37,16
2018,4,60,82,34,100
2018,5,97,13,18,40
2018,6,47,14,45,32
2018,7,56,91,45,5
2018,8,74,19,63,5
2018,9,26,59,27,86
2018,10,90,37,69,4
2018,11,16,13,27,25
2018,12,9,8,43,3
2019,1,45,9,11,12
2019,2,39,91,70,4
2019,3,79,85,27,9
2019,4,52,67,76,30
2019,5,40,19,12,43
2019,6,98,43,55,62
2019,7,70,33,55,95
2019,8,96,92,14,16
2019,9,69,13,91,75
2019,10,16,36,56,63
2019,11,50,54,49,99
2019,12,60,74,43,29
2020,1,92,23,55,89
2020,2,98,8,39,60
2020,3,70,99,54,80
2020,4,81,8,11,56
2020,5,46,90,44,88
2020,6,22,93,69,25
2020,7,63,58,2,82
2020,8,39,82,93,58
2020,9,53,6,9,98
2020,10,74,7,41,22
2020,11,37,47,53,41
2020,12,68,59,85,32
